2023-12-12T16:26:37.809+0530 [INFO]  Main.Core: Initializing IPFS
2023-12-12T16:26:41.429+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-12-12T16:26:41.454+0530 [INFO]  Main.Core: Initializing daemon...
2023-12-12T16:26:41.454+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2023-12-12T16:26:41.454+0530 [INFO]  Main.Core: Repo version: 13
2023-12-12T16:26:41.454+0530 [INFO]  Main.Core: System version: amd64/linux
2023-12-12T16:26:41.454+0530 [INFO]  Main.Core: Golang version: go1.19.8
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core: 
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core: 
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2023-12-12T16:26:41.499+0530 [INFO]  Main.Core: 
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.18.0.1/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.225.230/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:4073:219d:99c5:30f2:834:2235:27d/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:4073:219d:99c5:f254:469:4721:58be/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.225.230/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm announcing /ip6/2409:4073:219d:99c5:f254:469:4721:58be/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5010
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5010/webui
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8089
2023-12-12T16:26:41.508+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-12-12T16:26:43.553+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-12-12T16:26:43.553+0530 [INFO]  Main.Core: IPFS daemon finished
2023-12-12T16:26:43.564+0530 [INFO]  Main.Core: IPFS Initialized
2023-12-12T16:26:43.564+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-12-12T16:26:43.581+0530 [INFO]  Main.Core: Initializing daemon...
2023-12-12T16:26:43.581+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2023-12-12T16:26:43.581+0530 [INFO]  Main.Core: Repo version: 13
2023-12-12T16:26:43.581+0530 [INFO]  Main.Core: System version: amd64/linux
2023-12-12T16:26:43.581+0530 [INFO]  Main.Core: Golang version: go1.19.8
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core: 
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core: 
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2023-12-12T16:26:43.635+0530 [INFO]  Main.Core: 
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.18.0.1/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.225.230/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:4073:219d:99c5:30f2:834:2235:27d/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:4073:219d:99c5:f254:469:4721:58be/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4010
2023-12-12T16:26:48.644+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.225.230/tcp/4010
